videoID,resolution,size(MB),duration(s)
x7nn4h2,1080p,42,53
x7nn4h2,720p,14,53
x7nn4h2,480p,5.5,53
x7nn4h2,360p,3.1,53
x7nn4h2,240p,1.6,53
x7nn4h2,144p,0.6,53
x7np84i,1080p,148,190
x7np84i,720p,51,190
x7np84i,480p,20,190
x7np84i,360p,11,190
x7np84i,240p,6,190
x7np84i,144p,2,190
x7npuh3,1080p,81,105
x7npuh3,720p,28,105
x7npuh3,480p,11,105
x7npuh3,360p,6,105
x7npuh3,240p,3.2,105
x7npuh3,144p,1.4,105
x7npuk8,1080p,110,141
x7npuk8,720p,38,141
x7npuk8,480p,14.7,141
x7npuk8,360p,8.2,141
x7npuk8,240p,4,141
x7npuk8,144p,1.8,141
x7nqnmd,1080p,115,148
x7nqnmd,720p,40,148
x7nqnmd,480p,16,148
x7nqnmd,360p,8.5,148
x7nqnmd,240p,4.6,148
x7nqnmd,144p,1.9,148
x7p9zok,1080p,74,95
x7p9zok,720p,26,95
x7p9zok,480p,10,95
x7p9zok,360p,5.5,95
x7p9zok,240p,3,95
x7p9zok,144p,1.9,95
x7qxi5v,1080p,50,64
x7qxi5v,720p,18,64
x7qxi5v,480p,6.7,64
x7qxi5v,360p,3.7,64
x7qxi5v,240p,2,64
x7qxi5v,144p,0.8,64
x7o6i71,1080p,92,119
x7o6i71,720p,32,119
x7o6i71,480p,12,119
x7o6i71,360p,6.9,119
x7o6i71,240p,3.7,119
x7o6i71,144p,1.6,119
x7qagi5,1080p,81,104
x7qagi5,720p,28,104
x7qagi5,480p,11,104
x7qagi5,360p,6,104
x7qagi5,240p,3.2,104
x7qagi5,144p,1.1,104
x7p9ul6,1080p,76,98
x7p9ul6,720p,26,98
x7p9ul6,480p,10,98
x7p9ul6,360p,5,98
x7p9ul6,240p,3,98
x7p9ul6,144p,1.3,98
x7qlaxd,1080p,78,101
x7qlaxd,720p,27,101
x7qlaxd,480p,10,101
x7qlaxd,360p,5,101
x7qlaxd,240p,3.1,101
x7qlaxd,144p,1.3,101
x7ouyjp,1080p,49,63
x7ouyjp,720p,17,63
x7ouyjp,480p,6.6,63
x7ouyjp,360p,3.6,63
x7ouyjp,240p,1.9,63
x7ouyjp,144p,0.8,63
x7rap0v,1080p,52,67
x7rap0v,720p,18,67
x7rap0v,480p,7,67
x7rap0v,360p,5,67
x7rap0v,240p,2,67
x7rap0v,144p,0.8,67
x7r5u7q,1080p,91,118
x7r5u7q,720p,31,118
x7r5u7q,480p,12,118
x7r5u7q,360p,6,118
x7r5u7q,240p,3.1,118
x7r5u7q,144p,1,118
x7rez6f,1080p,73,95
x7rez6f,720p,25,95
x7rez6f,480p,9,95
x7rez6f,360p,5,95
x7rez6f,240p,2,95
x7rez6f,144p,1,95
x7r5u5j,1080p,168,206
x7r5u5j,720p,58,206
x7r5u5j,480p,22,206
x7r5u5j,360p,12,206
x7r5u5j,240p,6,206
x7r5u5j,144p,2,206
x7ra5qf,1080p,190,245
x7ra5qf,720p,65,245
x7ra5qf,480p,25,245
x7ra5qf,360p,14,245
x7ra5qf,240p,7,245
x7ra5qf,144p,2,245
x7r7bzs,1080p,25,32
x7r7bzs,720p,8,32
x7r7bzs,480p,3,32
x7r7bzs,360p,2,32
x7r7bzs,240p,0.9,32
x7r7bzs,144p,0.4,32
x7rl2gf,1080p,133,171
x7rl2gf,720p,46,171
x7rl2gf,480p,18,171
x7rl2gf,360p,9.8,171
